,state,year,pregnancyratelt15,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyratelt20,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionratelt15,abortionrate1517,abortionrate1819,abortionrate1519,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,abortionratiolt15,abortionratio1517,abortionratio1819,abortionratio1519,abortionratiolt20,abortionratio2024,abortionratio2529,abortionratio3034,abortionratio3539,abortionratio40plus,pregnancieslt15,pregnancies1517,pregnancies1819,pregnancies1519,pregnancieslt20,pregnancies2024,pregnancies2529,pregnancies3034,pregnancies3539,pregnancies40plus,abortionslt15,abortions1517,abortions1819,abortions1519,abortionslt20,abortions2024,abortions2529,abortions3034,abortions3539,abortions40plus,birthslt15,births1517,births1819,births1519,birthslt20,births2024,births2529,births3034,births3539,births40plus,miscarriageslt15,miscarriages1517,miscarriages1819,miscarriages1519,miscarriageslt20,miscarriages2024,miscarriages2529,miscarriages3034,miscarriages3539,miscarriages40plus,populationlt15,population1517,population1819,population1519,populationlt20,population2024,population2529,population3034,population3539,population40plus,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal,notes,versiondate
50,AZ,2017,1.7,13.5,60.6,32.3,32.6,114.7,139.7,123.3,63.2,16.3,0.7,2.1,10.4,5.4,5.6,17.5,15.2,10.1,6.6,2.4,0.8,9.3,40.9,21.9,22.1,79.5,102.4,93.5,46.6,11.4,853.0,225.0,255.4,247.6,251.9,220.8,148.7,108.2,141.8,211.6,80.0,1860.0,5540.0,7400.0,7480.0,26770.0,33890.0,27430.0,13910.0,3380.0,30.0,290.0,960.0,1240.0,1270.0,4100.0,3700.0,2250.0,1450.0,500.0,36.0,1284,3741,5025,5061,18551,24850,20796,10257,2357,10.0,290.0,840.0,1130.0,1140.0,4120.0,5340.0,4380.0,2200.0,520.0,44672,137599,91447,229046,229046,233459,242622,222486,219908,207334,1354855,13270,81872,83.3,60.4,9.8,162.1,17700,112840,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
64,AR,2014,3.4,22.4,98.9,52.7,53.3,150.6,155.5,106.8,43.9,9.8,0.7,2.7,8.6,5.0,5.2,13.3,12.2,7.7,4.2,1.7,2.2,16.2,74.6,39.3,39.7,113.3,118.4,82.0,32.7,6.6,309.6,166.9,115.1,128.1,130.1,117.7,103.3,94.1,128.7,265.6,70.0,1310.0,3760.0,5070.0,5140.0,15770.0,14950.0,10270.0,3960.0,910.0,10.0,160.0,330.0,480.0,500.0,1400.0,1180.0,740.0,380.0,160.0,43.0,945,2837,3782,3825,11862,11378,7882,2951,613,,200.0,600.0,800.0,810.0,2510.0,2390.0,1650.0,630.0,140.0,19682,58253,38052,96305,96305,104722,96120,96161,90201,93178,576687,4350,38511,88.4,66.8,7.5,113.0,8140,51000,, 1 Mar 2021
65,AR,2015,3.6,21.1,94.7,50.2,50.9,148.9,155.9,109.2,45.8,9.3,0.9,2.2,7.3,4.2,4.4,12.4,10.6,7.6,3.9,1.3,2.2,15.6,72.3,38.0,38.4,112.8,120.2,84.0,34.6,6.5,397.4,142.8,100.4,110.9,114.2,109.7,88.1,89.9,113.0,202.4,70.0,1240.0,3620.0,4860.0,4930.0,15250.0,15310.0,10440.0,4200.0,850.0,20.0,130.0,280.0,410.0,420.0,1270.0,1040.0,720.0,360.0,120.0,42.0,913,2764,3677,3719,11548,11806,8040,3175,598,10.0,200.0,580.0,780.0,790.0,2440.0,2470.0,1680.0,670.0,130.0,19309,58624,38253,96877,96877,102401,98229,95678,91788,91852,576825,3930,38886,88.4,67.4,6.8,101.2,8170,50990,, 1 Mar 2021
66,AR,2016,3.7,19.2,86.8,45.9,46.6,146.4,152.4,107.3,45.5,9.5,0.8,2.2,6.5,3.9,4.0,11.9,9.7,6.2,3.4,1.4,2.3,14.0,66.4,34.7,35.2,111.0,118.1,83.8,34.8,6.7,356.6,155.2,97.2,111.3,114.5,107.6,82.0,73.7,98.7,202.7,70.0,1130.0,3330.0,4460.0,4530.0,14700.0,15330.0,10210.0,4260.0,850.0,20.0,130.0,250.0,380.0,390.0,1200.0,970.0,590.0,320.0,120.0,44.0,823,2549,3372,3416,11149,11882,7972,3258,597,10.0,180.0,530.0,710.0,720.0,2350.0,2470.0,1650.0,680.0,130.0,19134,58741,38381,97122,97122,100410,100576,95186,93735,89520,576549,3590,38274,86.5,66.4,6.2,93.9,8010,49880,, 1 Mar 2021
67,AR,2017,4.1,17.3,84.0,43.8,44.6,142.6,149.8,108.8,44.0,9.7,0.9,1.7,7.3,4.0,4.1,11.9,10.6,6.3,3.7,1.1,2.6,12.8,63.3,32.8,33.3,107.9,115.1,84.9,33.2,7.0,349.6,135.5,115.7,120.4,123.9,109.8,92.3,73.8,112.4,162.1,80.0,1010.0,3220.0,4230.0,4310.0,14150.0,15280.0,10330.0,4170.0,860.0,20.0,100.0,280.0,380.0,400.0,1180.0,1080.0,590.0,350.0,100.0,49.0,750,2428,3178,3227,10711,11740,8066,3149,627,10.0,160.0,510.0,670.0,690.0,2260.0,2460.0,1670.0,670.0,140.0,19061,58408,38370,96778,96778,99228,102030,95002,94837,88956,576831,3710,37520,85.1,65.0,6.4,98.9,7880,49110,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
81,CA,2014,3.1,18.9,69.3,39.4,40.0,119.9,146.0,149.1,90.2,24.6,1.8,6.7,21.6,12.7,13.1,35.7,29.8,19.6,12.0,4.3,0.9,9.6,38.0,21.1,21.3,67.1,94.3,106.3,64.2,16.5,2036.0,695.4,568.1,602.6,614.6,532.1,316.3,184.2,187.2,263.4,780.0,14390.0,35950.0,50340.0,51130.0,168670.0,205300.0,204560.0,114300.0,31840.0,460.0,5090.0,11190.0,16290.0,16750.0,50270.0,41950.0,26870.0,15220.0,5630.0,228.0,7325,19700,27025,27253,94479,132634,145837,81301,21375,90.0,1970.0,5060.0,7030.0,7130.0,23920.0,30720.0,31850.0,17780.0,4840.0,252085,760254,518506,1278760,1278760,1407152,1406442,1371825,1266633,1295365,8026177,156690,502879,96.7,62.7,19.5,311.6,116240,775810,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 1 Mar 2021
82,CA,2015,2.7,16.6,63.1,35.3,35.9,113.1,139.0,146.7,89.1,24.9,1.5,5.8,19.6,11.4,11.7,33.2,28.3,18.9,11.6,4.1,0.9,8.5,34.6,19.0,19.2,63.9,89.9,105.0,63.7,17.0,1731.4,680.0,567.0,597.1,607.3,519.3,315.2,180.0,181.5,241.7,680.0,12560.0,32330.0,44890.0,45570.0,156790.0,200950.0,203140.0,114680.0,31770.0,380.0,4380.0,10050.0,14440.0,14820.0,45970.0,40950.0,26160.0,14870.0,5240.0,220.0,6448,17727,24175,24395,88516,129918,145306,81938,21675,80.0,1730.0,4550.0,6280.0,6360.0,22300.0,30080.0,31680.0,17870.0,4860.0,249184,757425,512439,1269864,1269864,1385658,1445267,1384426,1286949,1274102,8046266,148000,491748,93.6,61.1,18.4,301.0,113150,752900,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 1 Mar 2021
83,CA,2016,2.5,14.7,57.1,31.7,32.2,108.0,134.5,146.2,89.6,25.2,1.4,5.3,17.9,10.3,10.6,30.8,26.8,18.0,11.0,3.9,0.8,7.4,31.2,17.0,17.1,61.7,87.5,105.4,64.6,17.4,1758.2,706.8,574.0,608.8,619.2,498.7,306.2,170.7,169.6,226.0,610.0,11110.0,28930.0,40030.0,40640.0,146300.0,199860.0,204000.0,117470.0,31560.0,340.0,3970.0,9070.0,13040.0,13380.0,41730.0,39820.0,25100.0,14370.0,4920.0,195.0,5617,15795,21412,21607,83668,130052,146995,84720,21785,70.0,1520.0,4070.0,5590.0,5660.0,20910.0,29990.0,31910.0,18380.0,4850.0,242927,754700,506646,1261346,1261346,1355033,1486026,1395003,1310685,1252593,8060686,139320,488827,91.8,60.6,17.3,285.0,111700,739840,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 1 Mar 2021
84,CA,2017,2.1,12.9,52.2,28.7,29.1,101.5,127.2,141.0,88.5,25.5,1.2,4.7,16.8,9.6,9.8,28.8,25.3,17.2,10.4,3.7,0.6,6.4,28.2,15.1,15.3,58.1,82.8,101.7,64.2,17.9,1965.0,736.4,595.1,630.8,641.4,496.4,305.4,168.9,162.1,208.6,510.0,9610.0,26250.0,35860.0,36370.0,135150.0,191870.0,197360.0,117930.0,31840.0,300.0,3520.0,8420.0,11940.0,12240.0,38420.0,38150.0,24060.0,13870.0,4650.0,152.0,4782,14153,18935,19087,77404,124921,142411,85564,22271,60.0,1310.0,3670.0,4980.0,5040.0,19320.0,28800.0,30890.0,18500.0,4920.0,246311,747781,502459,1250240,1250240,1331790,1507822,1399788,1332194,1246663,8068497,131380,471658,88.1,58.5,16.3,278.6,107470,710510,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 1 Mar 2021
98,CO,2014,2.1,14.9,59.4,32.8,33.2,111.8,134.2,129.8,69.8,17.6,1.0,3.8,13.1,7.5,7.7,21.5,16.4,10.2,5.9,2.7,0.8,8.9,37.5,20.4,20.6,73.4,96.8,98.9,52.8,12.3,1227.1,424.1,349.3,368.9,376.0,293.5,169.1,103.2,110.9,216.2,70.0,1480.0,3950.0,5420.0,5490.0,19980.0,25850.0,25170.0,12340.0,3110.0,30.0,380.0,870.0,1250.0,1280.0,3850.0,3150.0,1980.0,1040.0,470.0,28.0,886,2491,3377,3405,13118,18652,19160,9332,2163,,210.0,590.0,800.0,810.0,3010.0,4050.0,4030.0,1970.0,480.0,34473,99016,66387,165403,165403,178692,192659,193822,176683,176226,1083485,11760,65830,84.9,60.8,10.9,178.7,14340,91940,, 1 Mar 2021
99,CO,2015,2.0,14.0,56.4,30.9,31.3,106.6,129.7,130.6,72.1,17.1,0.9,3.5,11.9,6.9,7.1,20.2,15.6,9.8,6.2,2.4,0.8,8.4,36.1,19.5,19.6,70.3,93.8,99.9,54.5,12.1,1056.4,418.2,330.8,353.6,359.8,286.9,166.0,97.8,112.9,199.8,70.0,1410.0,3780.0,5200.0,5260.0,19160.0,25850.0,25960.0,13210.0,3000.0,30.0,360.0,800.0,1160.0,1190.0,3630.0,3100.0,1940.0,1130.0,420.0,29.0,852,2418,3270,3299,12639,18699,19854,9977,2113,,210.0,560.0,770.0,780.0,2890.0,4050.0,4170.0,2110.0,460.0,34917,101096,67022,168118,168118,179771,199401,198730,183117,175010,1104147,11410,66581,83.7,60.3,10.3,171.3,14460,92450,, 1 Mar 2021
100,CO,2016,2.5,12.7,52.1,28.3,28.8,100.3,126.0,130.4,71.9,17.7,1.1,2.9,11.1,6.2,6.4,19.3,15.1,9.1,5.9,2.3,1.0,7.9,33.2,17.9,18.1,65.9,91.1,100.3,54.5,12.7,1036.0,372.6,334.6,344.7,352.7,293.2,166.3,90.3,108.8,184.3,80.0,1310.0,3530.0,4840.0,4930.0,18030.0,25890.0,26510.0,13660.0,3070.0,40.0,300.0,750.0,1060.0,1090.0,3470.0,3110.0,1840.0,1130.0,400.0,36.0,815,2253,3068,3104,11845,18722,20399,10353,2190,10.0,190.0,530.0,720.0,730.0,2720.0,4060.0,4260.0,2180.0,480.0,34350,103432,67803,171235,171235,179842,205498,203327,189962,173102,1122966,11050,66613,82.0,59.3,9.8,165.9,14430,92090,, 1 Mar 2021
101,CO,2017,1.3,11.6,48.4,26.2,26.5,94.7,119.8,125.2,70.1,17.5,0.6,3.2,10.9,6.2,6.3,18.5,15.4,9.5,5.5,2.2,0.6,6.8,30.3,16.1,16.3,61.9,85.7,95.6,53.4,12.5,1064.1,464.4,358.5,385.4,390.3,299.7,180.1,99.6,102.4,177.8,50.0,1210.0,3320.0,4530.0,4580.0,16950.0,25310.0,25880.0,13720.0,3040.0,20.0,330.0,750.0,1080.0,1100.0,3320.0,3260.0,1970.0,1070.0,390.0,20.0,709,2081,2790,2810,11081,18101,19759,10455,2176,,170.0,490.0,670.0,670.0,2550.0,3950.0,4150.0,2200.0,470.0,35299,104149,68611,172760,172760,179053,211313,206732,195637,173812,1139307,11100,64382,78.5,56.5,9.7,172.5,13990,89470,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
115,CT,2014,2.3,14.3,43.5,26.7,27.1,97.0,143.2,154.2,83.3,19.9,1.5,7.0,18.1,11.7,12.0,36.6,33.0,20.8,11.7,3.9,0.6,5.5,19.7,11.5,11.6,47.3,89.1,109.5,58.7,13.0,2474.9,1263.6,922.9,1016.7,1030.9,772.4,370.3,190.2,198.8,296.7,50.0,1010.0,2280.0,3290.0,3350.0,11360.0,15400.0,16890.0,8800.0,2350.0,30.0,490.0,950.0,1440.0,1480.0,4280.0,3550.0,2280.0,1230.0,460.0,14.0,391,1029,1420,1434,5541,9581,11985,6204,1540,,130.0,300.0,430.0,430.0,1540.0,2270.0,2620.0,1360.0,350.0,23437,70982,52340,123322,123322,117025,107548,109497,105676,118259,681327,13280,36285,85.3,53.3,19.5,365.9,8580,58150,, 1 Mar 2021
116,CT,2015,1.9,12.4,39.5,23.9,24.2,88.1,142.5,156.2,84.0,19.9,1.2,6.3,16.6,10.7,10.9,32.4,33.6,21.2,11.8,3.7,0.4,4.6,17.7,10.2,10.2,43.7,87.9,110.7,59.2,13.2,2756.4,1373.3,934.7,1049.2,1062.9,742.7,382.6,191.5,199.2,283.5,40.0,880.0,2040.0,2920.0,2960.0,10450.0,15210.0,17100.0,8980.0,2250.0,30.0,440.0,860.0,1300.0,1330.0,3850.0,3590.0,2320.0,1260.0,420.0,10.0,324,917,1241,1251,5180,9383,12120,6326,1486,,110.0,270.0,380.0,380.0,1420.0,2240.0,2660.0,1390.0,340.0,22545,70545,51694,122239,122239,118596,106710,109484,106886,112723,676638,12770,35746,84.2,52.8,18.9,357.2,8430,56940,, 1 Mar 2021
117,CT,2016,2.0,10.4,36.4,21.4,21.8,82.0,143.1,158.5,86.3,22.1,1.0,5.4,14.5,9.2,9.4,30.5,33.1,21.0,11.3,4.2,0.7,3.8,17.0,9.4,9.5,40.4,89.0,112.9,61.5,14.5,1397.6,1427.3,854.3,986.4,992.1,754.5,371.6,186.1,183.6,292.7,40.0,730.0,1870.0,2600.0,2640.0,9780.0,15120.0,17450.0,9340.0,2380.0,20.0,370.0,750.0,1120.0,1140.0,3630.0,3490.0,2310.0,1220.0,460.0,16.0,262,874,1136,1152,4816,9401,12424,6660,1562,,90.0,250.0,340.0,340.0,1330.0,2230.0,2720.0,1450.0,360.0,22064,69799,51351,121150,121150,119173,105680,110083,108205,107790,672081,12260,36015,84.4,53.6,18.2,340.5,8430,56710,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
118,CT,2017,1.9,10.3,34.8,20.8,21.1,76.7,138.5,156.9,86.5,21.8,1.3,5.0,15.0,9.3,9.5,27.7,33.7,20.7,11.1,4.2,0.5,4.0,15.3,8.8,8.9,38.5,84.6,111.8,61.9,14.3,2796.1,1271.0,981.3,1056.1,1072.5,720.1,398.2,185.1,179.1,290.9,40.0,710.0,1780.0,2490.0,2530.0,9130.0,14720.0,17270.0,9460.0,2300.0,30.0,350.0,770.0,1110.0,1140.0,3300.0,3580.0,2280.0,1210.0,440.0,10.0,272,781,1053,1063,4582,8984,12305,6771,1516,,90.0,230.0,320.0,330.0,1250.0,2150.0,2690.0,1480.0,350.0,21994,68560,51180,119740,119740,119051,106219,110052,109326,105794,670182,11950,35221,82.7,52.6,17.8,339.2,8240,55410,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
132,DE,2014,4.2,20.7,65.6,39.9,40.7,124.7,151.5,144.1,68.5,17.7,,7.8,21.2,13.5,13.8,34.0,24.7,17.9,10.3,3.7,1.9,10.1,35.3,20.9,21.2,72.7,103.6,103.8,47.6,11.4,,770.8,599.7,647.2,651.5,467.4,238.0,172.1,217.4,324.8,20.0,350.0,830.0,1180.0,1200.0,3960.0,4830.0,4290.0,1880.0,520.0,,130.0,270.0,400.0,410.0,1080.0,790.0,530.0,280.0,110.0,11.0,171,445,616,627,2312,3304,3089,1308,332,,50.0,120.0,160.0,170.0,570.0,740.0,670.0,290.0,80.0,5706,16936,12606,29542,29542,31784,31891,29772,27472,29166,179627,3200,10972,92.9,61.1,17.8,291.6,2510,16690,, 1 Mar 2021
